file,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
AA01-nc-1,0.4979265,1.6293559,0.9092009,1.0079231,0.6238676,0.9421562,0.9791162,0.537871,1.7851915,0.30368218,1.1694912,2.163279,1.1539203,0.16142857,1.170729,0.48049656,1.1616642,0.77152455,0.1505321,1.6680094,1.6607044,0.94605654,1.4394454,1.0626926,1.4456627,1.2862436,0.47660038,1.3569119,0.80513954,0.91083646,1.3133585,0.45669925,-0.455581,0.8233507,-0.061688814,1.0016168,-0.46054977,-0.54518926,-0.47588003,-0.07120346,0.7286918,-0.15138729,-0.7477451,1.0728921,0.85072625,0.10751042,0.2611218,0.45590886,-0.03439783,0.20659325,0.10797242,0.9872253,0.62573093,0.47698003,0.6507868,0.9999497,1.1022105,0.73985344,-0.05009673,0.6040933,-0.5628199,-0.68498176,0.6131408,-0.269171,1.1535295,0.5768595,0.9390098,0.28097087,0.8036884,1.7294892,1.2545785,1.7983634,1.3788469,1.0058459,1.0518967,0.7593114,0.15841442,0.34805495,1.1856062,0.60521984,1.0154035,1.0137105,0.67748785,0.7797738,1.3356814,1.0235536,0.116795056,0.24604958,0.5151659,0.5211497,0.41856542,0.9524701,0.6472472,0.0909176,0.7440767,1.2756115,1.1529295,-0.57660407,0.9385207,-0.28082117,0.803266,1.7292019,1.2539524,1.7978792,1.3782921,-1.0056028,1.0515858,-0.7587558,-0.1582359,-0.3479478,1.1849703,-0.6050987,-1.0153395,-1.0134116,-0.6774222,-0.77959263,1.3351191,1.023108,0.116352715,-0.24562187,-0.51487684,-0.5209034,-0.41832215,-0.9521912,0.6469664,-0.09069144,-0.743774,1.2750086,0.22602385,0.27637455,0.11670662,0.170606,0.32268593,0.2089603,0.00034409203,0.20258202,0.21126817,0.23522502,0.07732601,0.003823502,0.32710195,0.012628215,0.1929653,0.009272512,0.13337843,0.063088864,0.24585131,0.011036169,0.026913159,0.04093715,0.092411585,0.10213342,0.03015982,0.10087458,0.07915073,-0.028470736,0.14176676,0.03179936,0.27961904,0.1857439
AA10-co-400,0.595261,0.98585075,0.39151347,0.5503103,0.5350142,0.72293913,0.5656206,0.52356005,0.8141391,0.57149875,0.668659,1.2193359,0.9599941,0.3835396,0.57330066,0.6148583,0.75172144,0.8044117,0.19439194,0.98825914,0.64688164,0.5247066,0.9590405,0.6224072,1.3654697,0.702031,0.33337253,0.8824376,0.6619812,0.60854936,0.8174713,0.4317196,-0.48056796,0.8298123,-0.0028568695,0.53506577,-0.38996154,-0.6149343,-0.4632756,-0.3764567,0.5950603,0.39215365,-0.5202499,0.9995401,0.5877956,0.26067504,-0.1557834,0.44615975,0.43554568,0.66622645,-0.014208312,0.54944414,0.12366715,-0.05177961,0.18947788,0.5671491,1.2717545,0.30359298,0.059670568,0.6008419,-0.5482756,-0.02536611,0.6597509,-0.17040353,1.2142444,0.5584249,0.8892825,0.50400066,0.97906804,1.2022183,1.435986,1.5939735,1.4862713,0.9292865,1.0136636,0.699342,0.5515789,0.3458379,1.3147534,0.5068887,0.78481704,1.0581422,0.68781143,0.66863066,1.4076596,0.8773638,0.27405253,0.6422215,0.3096747,0.45814982,0.27701974,0.99797684,0.8064354,0.15709072,0.9299771,0.992196,1.2133346,-0.5581048,0.88854545,-0.503728,0.97851807,1.2020084,1.43526,1.5933782,1.4854823,-0.9289554,1.0134478,-0.6987587,-0.4703187,-0.34565365,1.3137683,-0.50675166,-0.7846991,-1.0578712,-0.68776053,-0.66782933,1.4068248,0.87678367,0.21320014,-0.64159334,-0.28265813,-0.4579258,-0.2763992,-0.9977513,0.80624664,-0.15626378,-0.92970383,0.9912813,0.11078706,0.1137354,0.021834448,0.114140645,0.19929865,0.07580767,0.140544,0.10916659,0.08961992,0.18028343,0.17019661,0.14807342,0.22498164,0.011899185,0.075283214,0.021114143,0.05818068,0.06292473,0.09668315,0.15888374,0.12070114,0.011111665,0.08355318,0.23014523,0.15418248,0.00044307762,0.09409502,0.094056495,0.032452233,0.19147162,0.14673068,0.11204019
AA03-co-1,0.5153153,0.9978888,0.2012969,1.1283313,0.53979707,0.5781314,0.4211852,0.06979361,0.8884965,0.15236415,0.74054503,1.112938,0.9421708,0.10862574,0.25289539,0.4629197,0.14891702,0.14878482,0.2331874,1.1286453,0.5888412,0.511998,0.70053303,1.1284231,1.1116842,0.7963234,0.06662768,0.5505219,0.6330715,0.58050203,0.713315,0.37940452,-0.48907638,0.9450859,-0.18523388,1.1193147,-0.51338047,-0.55614895,-0.38319963,-0.049135845,0.8223583,-0.11126827,-0.6776945,1.0412303,0.88726974,0.0923874,0.22696531,0.43235415,-0.09351033,0.14363346,0.22066721,1.0524079,0.5518714,0.49541947,0.6629542,1.117593,1.0661272,0.7638466,-0.047206663,0.46488613,-0.5806407,-0.56952,0.6399118,-0.3595049,1.1260486,0.6220358,0.9696344,0.23598641,0.79718775,1.6950574,1.1335368,1.8042325,1.3719456,0.9111858,0.90022457,0.7276446,0.03832704,0.47500965,1.1569569,0.7047315,0.9980001,0.90500516,0.87009454,0.7257457,1.3173542,1.0281044,0.19342878,0.20206863,0.5827956,0.5636666,0.37993354,1.0921605,0.7231212,0.018676959,0.7484952,1.2757648,1.1255763,-0.62188417,0.96924174,-0.23579264,0.7969225,1.694957,1.1331986,1.8038857,1.3715379,-0.9109131,0.9000559,-0.7273294,0.038185265,-0.47494265,1.156434,-0.70464057,-0.9979364,-0.90481216,-0.87007314,-0.7251299,1.3169262,1.0278076,-0.19299376,-0.2016934,-0.5826564,-0.56357676,-0.37955958,-1.0920563,0.72300607,0.01850346,-0.74837416,1.2752863,0.21743701,0.26434478,0.10605229,0.16741122,0.31357062,0.19795637,0.0104191415,0.19519679,0.20128825,0.23360866,0.084464885,0.01417733,0.3204055,0.012646142,0.18319285,0.010011962,0.12713496,0.06258171,0.23257445,0.02189735,0.034023806,0.03796325,0.092160374,0.11233093,0.039131865,0.090673916,0.079387836,-0.01982295,0.1323393,0.04349751,0.26922888,0.18052834
AA10-co-1,0.55107987,1.3539019,0.26947466,1.0570743,0.54147696,0.7098228,0.6949715,0.13023266,1.3574667,0.24081312,1.0807128,1.6047655,0.9477458,0.15159398,0.44010237,0.586266,0.5430082,0.46317783,0.19847673,1.135079,0.94419986,0.6479377,0.9672259,1.0717918,1.2352116,0.9680816,0.0718354,1.0547451,0.88236934,0.6363037,1.0657669,0.39996237,-0.5322642,1.0865881,-0.122108266,1.0509422,-0.4650604,-0.6146643,-0.5284379,-0.029790025,1.019153,0.061822467,-0.8765652,1.2517383,0.8251966,0.12083988,0.24252515,0.53235596,0.1810739,0.27980408,0.1526798,0.99104977,0.6684457,0.51705146,0.7490692,1.001311,1.0561495,0.8112864,-0.006129722,0.7466446,-0.7363834,-0.5830246,0.819483,-0.34684944,1.1295108,0.6112379,0.96745026,0.2508691,0.8093499,1.6564548,1.139103,1.7790256,1.3782218,0.9511006,0.87306243,0.7787833,0.051567435,0.44292128,1.1713064,0.6622647,0.9926332,0.9429999,0.8086649,0.7163392,1.322407,1.0090438,0.20615725,0.2230519,0.5778872,0.5537571,0.3467383,1.0745876,0.71786547,0.022246316,0.7657817,1.2546773,1.128642,-0.61094886,0.966747,-0.25067607,0.8088425,1.6562191,1.138423,1.7783953,1.3774732,-0.9507775,0.872736,-0.77833974,-0.05133834,-0.44276562,1.170369,-0.66209626,-0.99251175,-0.9427382,-0.8086344,-0.715738,1.3216275,1.00848,-0.20574842,-0.22237585,-0.57762283,-0.553661,-0.34636566,-1.0744609,0.7177066,0.021922054,-0.7656036,1.2538104,0.21083358,0.25436214,0.100147545,0.1634376,0.30682355,0.18977311,0.018018939,0.18987472,0.19401649,0.22925794,0.08945075,0.02206109,0.31487185,0.012567962,0.17607303,0.0106467465,0.12274471,0.06276014,0.22358175,0.029923316,0.03904661,0.03614367,0.091304675,0.119127885,0.04588268,0.084205896,0.08085838,-0.013261955,0.12530386,0.0522575,0.26184797,0.17653516
AA07-co-10,0.5114634,1.0618608,0.62738246,0.51430404,0.5118256,0.6571842,0.58631283,0.47975102,1.2041104,0.6268074,0.5797274,1.0397272,1.563089,0.72272485,0.7284291,0.6688317,0.74560106,0.7558331,0.43230605,1.2081436,0.97497284,0.858634,1.4150484,0.8744221,1.188067,0.7150654,0.40407005,1.021131,0.6591149,0.70776546,1.1491463,0.5922439,-0.35859993,0.8620416,0.21329466,0.4879802,-0.26015288,-0.38503954,-0.50335157,-0.23527595,0.89074737,0.45767927,-0.41860873,0.7768228,1.2575629,0.5819546,0.19919476,0.45695084,0.38895753,0.556977,0.29776877,0.8173744,0.23668027,0.24396531,0.77731603,0.76911277,0.93312323,0.44693738,0.19566125,0.79785794,-0.5275378,0.067969844,0.9486109,0.061510403,1.2488177,0.59018534,0.81947213,0.73299253,0.83703244,1.2258135,1.3499982,1.8457842,1.411833,0.98648703,1.082016,0.77243733,0.74852717,0.27201623,1.1929111,0.59376484,0.68718684,1.0645237,0.5610877,0.7133494,1.3628865,0.96858203,0.31102377,0.6013762,0.27831787,0.46622938,0.3562459,0.9046098,0.7659331,0.1843633,0.918728,0.9348568,1.2478526,-0.5898241,0.81868994,-0.7327405,0.83645916,1.2255603,1.3492508,1.845176,1.4109951,-0.9858761,1.0817629,-0.77154225,0.13109858,-0.27180892,1.1918718,-0.593514,-0.6870831,-1.0642755,-0.4932495,-0.712649,1.3620023,0.9679529,0.22160861,-0.60064733,-0.189886,-0.46594054,-0.35573596,-0.9042922,0.76554286,-0.1841842,-0.91825485,0.93390715,0.119404115,0.12552245,0.027157884,0.12797451,0.20334172,0.08716212,0.1419797,0.11721647,0.09952098,0.20065562,0.17167088,0.14841034,0.22679953,0.012202867,0.08582481,0.021648655,0.064089134,0.061726797,0.10828974,0.15880905,0.12173617,0.012565491,0.08732579,0.23240605,0.15450421,0.00656154,0.08736646,0.09434315,0.040177446,0.19069144,0.15676436,0.11462889
AA01-nc-400,0.56649137,1.0203512,0.8880459,0.44701213,0.75033396,0.65079933,0.5626688,0.71975935,1.1173404,0.60412395,0.5816378,1.2129511,1.5094813,0.6357766,0.92347366,0.66171074,0.89950144,0.7607946,0.3262042,1.2097205,1.0900826,0.7436044,1.3921599,0.7073168,1.2636219,0.82428706,0.5099552,0.87935203,0.60517603,0.67235124,0.8879802,0.5914449,-0.4388386,0.80168855,0.2872265,0.42395547,-0.30470794,-0.50440633,-0.43530914,-0.41653404,0.67573684,0.4394436,-0.38815117,0.89733404,0.9553807,0.49306583,-0.01146287,0.5005401,0.4389155,0.58205754,0.1435075,0.65879333,0.068037175,-0.22145464,0.28942856,0.65202856,1.0389024,0.28605416,0.17501205,0.56272227,-0.4880604,0.27160132,0.7093623,-0.14343737,1.2813568,0.61916244,0.8244318,0.70211256,0.95991564,1.1579127,1.3968598,1.7857748,1.4741073,0.879033,1.1629386,0.68268555,0.65085775,0.33950013,1.270621,0.5788226,0.62130064,1.0857334,0.6731583,0.6429675,1.4255911,0.9139905,0.28552735,0.731344,0.2609661,0.37439942,0.28406608,0.90816426,0.8290387,0.18246295,0.96366745,0.80080384,1.28057,-0.6188551,0.8237993,-0.7018821,0.95939654,1.1577121,1.3961338,1.7852471,1.4734017,-0.87860495,1.1627486,-0.6820381,-0.087627165,-0.33906907,1.2697788,-0.5786831,-0.6212269,-1.0854188,-0.6684323,-0.6423494,1.424858,0.91344917,0.07853538,-0.7307319,-0.17786196,-0.374211,-0.28345758,-0.9079336,0.82878584,-0.18191217,-0.96335924,0.8000401,0.069407865,0.06064946,-0.009065003,0.099874765,0.14686139,0.03193971,0.20672439,0.07586472,0.048132163,0.17252569,0.21467946,0.2152573,0.17975923,0.011851075,0.036327854,0.027073717,0.03157425,0.061801106,0.04689584,0.22718798,0.16506992,0.0009851314,0.08272662,0.29171002,0.21206276,-0.031691954,0.095104754,0.15068737,-0.0026072063,0.26495144,0.09706171,0.081039816
AA07-nc-1000,0.5443791,0.90699184,0.4848618,0.47527152,0.50475305,0.6118849,0.5137453,0.5810664,0.9037087,0.5832526,0.5558223,1.0552573,1.3623391,0.60497576,0.6442117,0.6566899,0.6715763,0.67201847,0.34142995,1.0631602,0.78924996,0.7091104,1.3596103,0.7409713,1.1526729,0.7424493,0.35947618,0.8127285,0.6137806,0.66165,0.84457475,0.4326208,-0.42926723,0.8007817,0.2052224,0.46077216,-0.32459694,-0.47034633,-0.42272052,-0.41370586,0.6714158,0.42714986,-0.38298842,0.8658986,0.9316927,0.49637717,-0.02986599,0.49997562,0.39462522,0.5772433,0.13972715,0.61730546,0.06891165,-0.12362555,0.3299271,0.6878628,1.054875,0.31037113,0.16220511,0.57459056,-0.49393302,0.25478378,0.72271585,-0.16093816,1.2723036,0.5985126,0.8302313,0.68475956,0.9389742,1.1616688,1.3879622,1.7600278,1.4670789,0.8824743,1.1559452,0.68184173,0.6867641,0.34383062,1.2683895,0.5858176,0.6470403,1.0751412,0.6834609,0.66990817,1.4128011,0.9138363,0.28978488,0.6958997,0.24506354,0.39948282,0.295032,0.92426676,0.83321357,0.17937969,0.95738536,0.83200103,1.2714431,-0.598166,0.82953525,-0.684505,0.9384057,1.1614367,1.38717,1.7594545,1.4663044,-0.8820503,1.1557254,-0.6811048,-0.060163688,-0.34328324,1.2674649,-0.58565944,-0.64695734,-1.0748067,-0.67545605,-0.66928494,1.4119978,0.9132409,0.1282259,-0.6945367,-0.15745118,-0.39902744,-0.2945047,-0.9240275,0.8329129,-0.17440948,-0.95704305,0.8311524,0.077389725,0.07144096,-0.002514055,0.1058856,0.15867043,0.041279197,0.1917267,0.082299426,0.056526016,0.17792898,0.2045949,0.1998706,0.19037703,0.011921558,0.044550586,0.025743982,0.036945716,0.06181747,0.057121437,0.21154895,0.15499161,0.0030860405,0.083642565,0.2778255,0.19879857,-0.024501838,0.09359618,0.13782653,0.0051590484,0.247935,0.10656929,0.08805396
AA07-nc-100,0.5657421,0.9288783,0.4238776,0.49868137,0.5205099,0.6587113,0.54886615,0.5761977,0.9225367,0.5959968,0.6202259,1.0587721,1.3387151,0.54592806,0.60058004,0.6755627,0.6817467,0.7135888,0.31777012,1.0898589,0.820729,0.67892456,1.4669844,0.70825523,1.2221278,0.79792476,0.34357035,0.8607966,0.63625854,0.6378382,0.84503615,0.4364249,-0.41851836,0.8370969,0.13385798,0.48710987,-0.32163897,-0.5238089,-0.45956334,-0.37494346,0.6967536,0.43070942,-0.43981388,0.88183045,0.8580031,0.4137962,-0.062424757,0.47008362,0.41204825,0.62633765,0.10949118,0.5908922,0.12821391,-0.06396127,0.41165942,0.645931,1.131548,0.32647246,0.12996775,0.612515,-0.5200237,0.19866242,0.74101263,-0.11738196,1.2452828,0.5869423,0.84928894,0.63961864,0.95193887,1.1734525,1.4185857,1.7005663,1.4721125,0.9150503,1.098977,0.70271796,0.63307446,0.33370373,1.2778559,0.55807763,0.6891422,1.066998,0.65405554,0.6844337,1.4072237,0.90613157,0.29985815,0.6821739,0.27025127,0.43731728,0.30902615,0.9657087,0.82489586,0.17472051,0.9532634,0.91047376,1.2444375,-0.58661324,0.8486017,-0.6393469,0.95137763,1.173213,1.4178021,1.699992,1.4713517,-0.9146607,1.0987641,-0.7019993,-0.21428762,-0.33351812,1.276949,-0.5579314,-0.68905807,-1.0666782,-0.65241414,-0.6838101,1.4064294,0.9055472,0.19650076,-0.6815574,-0.21487086,-0.4371238,-0.3085762,-0.9654709,0.8246108,-0.1742622,-0.9529331,0.90964323,0.08947864,0.086135074,0.005588476,0.109919995,0.17458437,0.05346255,0.17179993,0.0920757,0.06836938,0.18003203,0.19122677,0.17965236,0.2038546,0.011927166,0.055482116,0.023954766,0.044611584,0.062170193,0.07106143,0.19104074,0.14168158,0.0058521735,0.08382309,0.25934023,0.18137123,-0.016452754,0.09341383,0.12079146,0.014296894,0.22585623,0.12134698,0.09741221
AA05-nc-10,0.5873296,1.2215594,0.31518763,0.64016306,0.51956,0.73661095,0.74179673,0.47052106,1.2167037,0.6011283,0.83642465,1.4263427,1.138636,0.32014093,0.5291375,0.59603935,0.7675103,0.9209894,0.17473614,1.0677452,0.7219638,0.5617611,1.0920291,0.7874745,1.3444874,0.7389736,0.28602535,1.1427063,0.76585615,0.6566074,1.0783286,0.4409469,-0.4758812,0.95595294,-0.014815649,0.6289994,-0.39540884,-0.5453894,-0.5685516,-0.29766846,0.84994614,0.3253207,-0.60148466,1.0381148,0.77572495,0.22715142,-0.1033894,0.43697524,0.411807,0.61493343,0.0704602,0.59405655,0.29765004,0.13910213,0.4006443,0.7266991,1.1944726,0.417265,0.01713443,0.73383534,-0.62101686,-0.23299932,0.788957,-0.039962698,1.1868448,0.5629929,0.90605485,0.47886205,0.9137527,1.3143657,1.3555486,1.622167,1.4408985,0.97244775,0.9609208,0.8029976,0.5596005,0.3231517,1.2624657,0.54470396,0.85780984,1.0565954,0.62731314,0.71853036,1.3653345,0.9239432,0.258805,0.5085641,0.39024264,0.49009553,0.34645677,0.9948366,0.75494516,0.13650142,0.88572586,1.1058147,1.185728,-0.56261545,0.9051485,-0.47857198,0.9130748,1.3140869,1.3546429,1.621417,1.4399214,-0.9720421,0.9605891,-0.80226946,-0.3487437,-0.32293195,1.2612628,-0.54449296,-0.85767794,-1.0563256,-0.6272431,-0.71777415,1.3643129,0.92321646,0.18979083,-0.50774896,-0.38979703,-0.48988947,-0.34586638,-0.9945815,0.7546744,-0.13627146,-0.88534945,1.1046894,0.14642163,0.15858391,0.046065368,0.13522553,0.24151513,0.112914704,0.09240399,0.13882592,0.124467745,0.20140243,0.13835326,0.09851489,0.2599982,0.012172261,0.108457066,0.017006911,0.08063119,0.062884465,0.13811749,0.108268954,0.08859788,0.019040128,0.08690821,0.18637896,0.11160781,0.025966484,0.088382944,0.052071024,0.061475098,0.13660832,0.18970041,0.13718818
AA10-nc-1,0.5001962,1.0732367,0.23463315,0.9888656,0.59468424,0.5552786,0.6635275,0.20405307,1.0546093,0.27368927,0.8702349,1.450042,0.89842325,0.1422641,0.3211115,0.537685,0.28642008,0.24041227,0.10873386,0.9861251,0.7076043,0.5294827,0.74288756,1.0350024,1.1314085,0.7898288,0.15078098,1.0210526,0.8033943,0.7297798,0.9304053,0.40069216,-0.46345612,0.80959034,-0.20580143,0.980595,-0.53812987,-0.5047255,-0.48257548,-0.12818709,0.69665486,-0.115987174,-0.7623639,1.0998503,0.8134885,0.11150499,0.16520679,0.44386113,-0.016741585,0.12412431,0.07645287,0.90448475,0.5708877,0.46823862,0.6189476,0.9962965,1.0845494,0.7067627,-0.11453787,0.66903245,-0.65408534,-0.6921641,0.6323178,-0.34092003,1.1547079,0.56323135,0.93431467,0.28216124,0.8121344,1.7316005,1.2760379,1.8072436,1.3870656,1.023102,1.0594819,0.7561535,0.21608672,0.33947995,1.1998204,0.5896177,1.0211947,1.0224931,0.6618535,0.7860147,1.3362505,1.0148737,0.18327129,0.2591254,0.5023526,0.5236392,0.422264,0.9374263,0.6536093,0.11343403,0.7484175,1.2741528,1.1538804,-0.56294507,0.933647,-0.28191063,0.8116522,1.7313149,1.275385,1.8066397,1.3863516,-1.0227793,1.0591767,-0.75567603,-0.21586266,-0.33926877,1.1989316,-0.58942866,-1.0210781,-1.0222359,-0.661822,-0.78580344,1.335508,1.0143356,0.18280163,-0.25852227,-0.50205135,-0.52344865,-0.42175397,-0.9372694,0.65344536,-0.11323297,-0.74822044,1.2733246,0.22517982,0.2748346,0.11624907,0.16966689,0.32170272,0.20778191,0.0009962693,0.2019276,0.2103891,0.2337712,0.07765051,0.0045602173,0.32625487,0.01260464,0.19192731,0.009300362,0.13291474,0.06316651,0.24476974,0.011871122,0.027332418,0.040808823,0.092208266,0.10252652,0.030797198,0.10014259,0.0795386,-0.027743075,0.14085194,0.032640763,0.27864075,0.18505858
